x,y
2.07,-330.83686910153756
2.08,-328.26214866252053
2.09,-325.80849805533046
2.1,-323.4762963465223
2.11,-321.26577671213016
2.12,-319.1770264217654
2.13,-317.2099869573411
2.14,-315.3644542662979
2.15,-313.64007914908245
2.16,-312.0363677805084
2.17,-310.5526823645124
2.18,-309.18824192169353
2.19,-307.9421232089063
2.2,-306.8132617700587
2.21,-305.80045311714747
2.22,-304.90235404044495
2.23,-304.11748404663757
2.24,-303.44422692359683
2.25,-302.8808324303533
2.26,-302.4254181107285
2.27,-302.0759712289689
2.28,-301.83035082561605
2.29,-301.6862898917385
2.3,-301.6413976595444
2.31,-301.6931620072877
2.32,-301.83895197627976
2.33,-302.07602039771496
2.34,-302.40150662691985
2.35,-302.8124393825408
2.36,-303.30573968808744
2.37,-303.87822391315916
2.38,-304.5266069115893
2.39,-305.2475052536572
2.4,-306.03744054943115
2.41,-306.89284286022445
2.42,-307.81005419506505
2.43,-308.78533208900626
2.44,-309.81485326002684
2.45,-310.89471734120445
2.46,-312.0209506847705
2.47,-313.1895102345974
2.48,-314.3962874636016
2.49,-315.6371123724899
2.5,-316.90775754622075
2.51,-318.20394226449963
2.52,-319.52133666257794
2.53,-320.8555659385812
2.54,-322.2022146035501
2.55,-323.5568307703362
2.56,-324.91493047746326
2.57,-326.2720020440305
2.58,-327.62351045170635
2.59,-328.96490174983904
2.6,-330.29160747968524
2.61,-331.5990491137435
2.62,-332.8826425061664
2.63,-334.13780235021085
2.64,-335.35994663868286
2.65,-336.54450112333166
2.66,-337.68690376914304
2.67,-338.78260919949184
2.68,-339.82709312811966
2.69,-340.81585677391365
2.7,-341.74443125448147
2.71,-342.60838195453056
2.72,-343.40331286509235
2.73,-344.1248708896419
2.74,-344.76875011321374
2.75,-345.330696030629
2.76,-345.8065097299973
2.77,-346.19205202769183
2.78,-346.4832475510414
2.79,-346.67608876503056
2.8,-346.76663993934477
2.81,-346.7510410521615
2.82,-346.6255116271284
2.83,-346.3863545000491
2.84,-346.02995951184397
2.85,-345.5528071244288
2.86,-344.95147195621973
2.87,-344.2226262340468
2.88,-343.36304315833314
2.89,-342.36960017847105
2.9,-341.2392821754179
2.91,-339.96918454860105
2.92,-338.556516204324
2.93,-336.99860244294376
2.94,-335.2928877421848
2.95,-333.4369384340464
2.96,-331.42844527285746
2.97,-329.26522589213073
2.98,-326.9452271479656
2.99,-324.4665273468552
3.0,-321.82733835585327
3.01,-319.0260075931649
3.02,-316.061019897331
3.03,-312.9309992732873
3.04,-309.6347105136865
3.05,-306.1710606939897
3.06,-302.53910053993894
3.07,-298.738025666146
3.08,-294.7671776846422
3.09,-290.6260451823546
3.1,-286.31426456658846
3.11,-281.8316207777207
3.12,-277.1780478684181
3.13,-272.3536294488295
3.14,-267.3585989973026
3.15,-262.19334003631735
3.16,-256.8583861734303
3.17,-251.35442100716205
3.18,-245.6822778978674
3.19,-239.84293960376291
3.2,-233.8375377823925
3.21,-227.66735235795122
3.22,-221.33381075498758
3.23,-214.83848699914603
3.24,-208.18310068571077
3.25,-201.36951581684968
3.26,-194.39973950855787
3.27,-187.27592056843355
3.28,-180.00034794552482
3.29,-172.5754490536006
3.3,-165.00378796932574
3.31,-157.288063506911
3.32,-149.43110717094714
3.33,-141.43588098921256
3.34,-133.30547522738013
3.35,-125.0431059876299
3.36,-116.65211269330378
3.37,-108.13595546181368
3.38,-99.49821236814377
3.39,-90.74257660136098
3.4,-81.87285351666158
3.41,-72.89295758556553
3.42,-63.80690924697137
3.43,-54.61883166185808
3.44,-45.332947374531685
3.45,-35.953574883368134
3.46,-26.4851251241181
3.47,-16.932097868883943
3.48,-7.299078043992566
3.49,2.4092680299792164
3.5,12.188196472660536
3.51,22.03288974942606
3.52,31.938460644527495
3.53,41.899956298283115
3.54,51.912362304732824
3.55,61.970606866094236
3.56,72.06956500033411
3.57,82.20406279808316
3.58,92.36888172512184
3.59,102.55876296657799
3.6,112.76841180898182
3.61,122.9925020562521
3.62,133.2256804756897
3.63,143.46257126999913
3.64,153.6977805713562
3.65,163.92590095350883
3.66,174.14151595788567
3.67,184.3392046296677
3.68,194.51354605978693
3.69,204.65912392878076
3.7,214.7705310484647
3.71,224.8423738973516
3.72,234.86927714578695
3.73,244.8458881667401
3.74,254.76688152824647
3.75,264.62696346347025
3.76,274.4208763144127
3.77,284.14340294528836
3.78,293.7893711216324
3.79,303.3536578512345
3.8,312.8311936830128
3.81,322.2169669600066
3.82,331.5060280226693
3.83,340.69349335873414
3.84,349.7745496959266
3.85,358.74445803388664
3.86,367.59855761168944
3.87,376.3322698074355
3.88,384.9411019664195
3.89,393.42065115446877
3.9,401.7666078331004
3.91,409.9747594532185
3.92,418.04099396414244
3.93,425.9613032348448
3.94,433.7317863843357
3.95,441.3486530182371
3.96,448.80822636864934
3.97,456.10694633452295
3.98,463.2413724198138
3.99,470.2081865668171
4.0,477.0041958821439
4.01,483.62633525292426
4.02,490.07166985089907
4.03,496.33739752217764
4.04,502.42085106053196
4.05,508.3195003622129
4.06,514.0309544603647
4.07,519.5529634372368
4.08,524.8834202124937
4.09,530.0203622060416
4.1,534.9619728738902
4.11,539.7065831156981
4.12,544.2526725527515
4.13,548.5988706752571
4.14,552.7439578579267
4.15,556.6868662429724
4.16,560.4266804897303
4.17,563.9626383902678
4.18,567.2941313504316
4.19,570.4207047359323
4.2,573.3420580831674
4.21,576.0580451746196
4.22,578.568673978774
4.23,580.8741064546347
4.24,582.9746582210302
4.25,584.8707980910261
4.26,586.5631474718821
4.27,588.0524796311089
4.28,589.3397188293058
4.29,590.4259393205735
4.3,591.312364221422
4.31,592.0003642492015
4.32,592.4914563312169
4.33,592.7873020857821
4.34,592.889706176607
4.35,592.8006145420048
4.36,592.5221125005327
4.37,592.0564227347828
4.38,591.4059031551513
4.39,590.5730446455244
4.4,589.5604686929178
4.41,588.3709249032229
4.42,587.0072884053002
4.43,585.472557145772
4.44,583.7698490769627
4.45,581.9023992405217
4.46,579.8735567493737
4.47,577.6867816707112
4.48,575.3456418128591
4.49,572.8538094188984
4.5,570.2150577700432
4.51,567.4332577018333
4.52,564.5123740362878
4.53,561.4564619332369
4.54,558.2696631641243
4.55,554.9562023116432
4.56,551.5203828986271
4.57,547.966583449695
4.58,544.299253489193
4.59,540.5229094790442
4.6,536.6421307001682
4.61,532.661555081181
4.62,528.5858749781361
4.63,524.4198329091015
4.64,520.1682172474304
4.65,515.8358578775865
4.66,511.4276218174556
4.67,506.9484088110676
4.68,502.4031468957141
4.69,497.7967879474412
4.7,493.1343032089362
4.71,488.4206788038285
4.72,483.66091124144333
4.73,478.8600029160624
4.74,474.0229576047284
4.75,469.15477596765504
4.76,464.2604510552899
4.77,459.34496382606966
4.78,454.41327867890175
4.79,449.4703390043926
4.8,444.5210627588215
4.81,439.5703380648403
4.82,434.62301884286285
4.83,429.6839204770602
4.84,424.7578155198674
4.85,419.84942943886074
4.86,414.963436409829
4.87,410.1044551598214
4.88,405.2770448638994
4.89,400.4857010992979
4.9,395.7348518606081
4.91,391.02885363958376
4.92,386.37198757307317
4.93,381.76845566255065
4.94,377.2223770686346
4.95,372.7377844839225
4.96,368.3186205873967
4.97,363.968734583583
4.98,359.6918788295735
4.99,355.49170555293125
5.0,351.3717636634257
5.01,347.3354956614588
5.02,343.3862346459516
5.03,339.52720142437283
5.04,335.76150172750283
5.05,332.0921235314226
5.06,328.5219344891294
5.07,325.05367947407996
5.08,321.6899782378538
5.09,318.43332318403685
5.1,315.28607726031265
5.11,312.25047197064475
5.12,309.32860550932924
5.13,306.52244101857195
5.14,303.83380497115746
5.15,301.2643856796388
5.16,298.8157319333819
5.17,296.4892517646681
5.18,294.28621134495734
5.19,292.2077340122822
5.2,290.2547994306352
5.21,288.42824288208556
5.22,286.72875469224783
5.23,285.1568797895999
5.24,283.7130173990297
5.25,282.39742086986683
5.26,281.21019763853565
5.27,280.1513093258445
5.28,279.220571968803
5.29,278.41765638673985
5.3,277.7420886813719
5.31,277.1932508703518
5.32,276.7703816537053
5.33,276.4725773124467
5.34,276.2987927385427
5.35,276.2478425952744
5.36,276.31840260693224
5.37,276.50901097666116
5.38,276.81806993115754
5.39,277.2438473908014
5.4,277.78447876370427
5.41,278.43796886202415
5.42,279.20219393881314
5.43,280.0749038435256
5.44,281.0537242942326
5.45,282.1361592644705
5.46,283.31959348254634
5.47,284.60129504103463
5.48,285.9784181140783
5.49,287.4480057800358
5.5,289.0069929468996
5.51,290.6522093778276
5.52,292.3803828140412
5.53,294.1881421922514
5.54,296.0720209536859
5.55,298.02846044171713
5.56,300.0538133850052
5.57,302.1443474629862
5.58,304.2962489504799
5.59,306.50562643809553
5.6,308.76851462507295
5.61,311.08087818110175
5.62,313.43861567362086
5.63,315.83756355704304
5.64,318.2735002202629
5.65,320.74215008879986
5.66,323.2391877778318
5.67,325.76024229237265
5.68,328.30090127076636
5.69,330.8567152676503
5.7,333.4232020725154
5.71,335.9958510599237
5.72,338.5701275674594
5.73,341.1414772974184
5.74,343.70533073826465
5.75,346.2571076018267
5.76,348.79222127221345
5.77,351.30608326241514
5.78,353.79410767454465
5.79,356.2517156596662
5.8,358.674339873173
5.81,361.0574289216682
5.82,363.3964517973069
5.83,365.68690229558604
5.84,367.92430341256056
5.85,370.1042117175063
5.86,372.2222216970481
5.87,374.27397006681394
5.88,376.2551400467094
5.89,378.1614655959099
5.9,379.98873560374557
5.91,381.73279803265245
5.92,383.389564009447
5.93,384.9550118611864
5.94,386.4251910919576
5.95,387.7962262969832
5.96,389.0643210104742
5.97,390.2257614837448
5.98,391.2769203901379
5.99,392.214260453405
6.0,393.0343379962293
6.01,393.73380640566313
6.02,394.30941951232853
6.03,394.7580348803008
6.04,395.07661700467366
6.05,395.26224041389605
6.06,395.3120926740529
6.07,395.22347729234036
6.08,394.993816517097
6.09,394.62065403182197
6.1,394.10165754072835
6.11,393.4346212434593
6.12,392.617468196706
6.13,391.64825256056645
6.14,390.52516172757845
6.15,389.24651833248197
6.16,387.81078214085585
6.17,386.2165518148985
6.18,384.46256655471853
6.19,382.54770761362516
6.2,380.4709996860165
6.21,378.2316121665723
6.22,375.8288602795898
6.23,373.26220607739674
6.24,370.5312593069159
6.25,367.63577814355256
6.26,364.5756697917138
6.27,361.35099095137684
6.28,357.9619481502497
6.29,354.40889794118596
6.3,350.69234696463616
6.31,346.8129518760454
6.32,342.77151913821996
6.33,338.5690046788129
6.34,334.2065134131979
6.35,329.68529863312284
6.36,325.00676126165445
6.37,320.1724489750485
6.38,315.1840551922901
6.39,310.04341793318576
6.4,304.75251854598594
6.41,299.3134803056565
6.42,293.7285668840063
6.43,288.00018069302587
6.44,282.13086110288117
6.45,276.1232825361289
6.46,269.98025243983005
6.47,263.70470913734954
6.48,257.29971956174063
6.49,250.76847687270958
6.5,244.11429795926833
6.51,237.34062083029266
6.52,230.45100189528603
6.53,223.44911313776288
6.54,216.33873918376364
6.55,209.12377426808945
6.56,201.80821910095915
6.57,194.39617763787118
6.58,186.89185375553419
6.59,179.29954783682444
6.6,171.62365326780446
6.61,163.86865284992285
6.62,156.039115130587
6.63,148.13969065535895
6.64,140.17510814514054
6.65,132.15017060171908
6.66,124.06975134517329
6.67,115.93878998663556
6.68,107.7622883400324
6.69,99.54530627642404
6.7,91.29295752464667
6.71,83.01040542199759
6.72,74.70285861875519
6.73,66.37556674036472
6.74,58.03381601115501
6.75,49.68292484348622
6.76,41.32823939627869
6.77,32.975129106866376
6.78,24.62898220016931
6.79,16.295201179202294
6.8,7.9791983009234695
6.81,-0.3136089585243449
6.82,-8.577802445133191
6.83,-16.807967870865156
6.84,-24.998699355941163
6.85,-33.1446039655312
6.86,-41.24030623679526
6.87,-49.28045269222627
6.88,-57.25971633529139
6.89,-65.17280112431928
6.9,-73.01444642067892
6.91,-80.77943140724062
6.92,-88.46257947321656
6.93,-96.0587625614267
6.94,-103.56290547413177
6.95,-110.96999013358538
6.96,-118.27505979350066
6.97,-125.47322319767078
6.98,-132.5596586820298
6.99,-139.52961821649825
7.0,-146.37843138300383
7.01,-153.1015092861192
7.02,-159.69434839283934
7.03,-166.15253429806572
7.04,-172.4717454124315
7.05,-178.64775656919198
7.06,-184.67644254695156
7.07,-190.5537815050844
7.08,-196.27585832879367
7.09,-201.83886788082052
7.1,-207.23911815690363
7.11,-212.47303334217966
7.12,-217.53715676579384
7.13,-222.42815375110436
7.14,-227.14281435891863
7.15,-231.67805602134
7.16,-236.03092606386332
7.17,-240.19860411349188
7.18,-244.1784043907162
7.19,-247.96777788332997
7.2,-251.56431440014313
7.21,-254.96574450277552
7.22,-258.1699413138087
7.23,-261.17492219969756
7.24,-263.9788503269476
7.25,-266.58003609018374
7.26,-268.9769384108439
7.27,-271.1681659053538
7.28,-273.15247792175285
7.29,-274.92878544386065
7.3,-276.4961518621885
7.31,-277.85379361093123
7.32,-279.00108067047404
7.33,-279.93753693499696
7.34,-280.6628404448544
7.35,-281.1768234835471
7.36,-281.479472539217
7.37,-281.57092813071665
7.38,-281.45148449843214
7.39,-281.1215891601539
7.4,-280.58184233241144
7.41,-279.83299621781634
7.42,-278.87595415906503
7.43,-277.7117696603842
7.44,-276.3416452773173
7.45,-274.7669313758621
7.46,-272.98912476209676
7.47,-271.009867183543
7.48,-268.8309437036281
7.49,-266.45428095072384
7.5,-263.8819452433561
7.51,-261.1161405932809
7.52,-258.1592065882445
7.53,-255.0136161563392
7.54,-251.6819732139861
7.55,-248.16701019967172
7.56,-244.4715854956683
7.57,-240.59868074007562
7.58,-236.55139803160873
7.59,-232.33295702966376
7.6,-227.94669195227678
7.61,-223.3960484746944
7.62,-218.68458053135652
7.63,-213.81594702416754
7.64,-208.79390844004894
7.65,-203.62232338080514
7.66,-198.3051450084514
7.67,-192.84641740919474
7.68,-187.25027187936325
7.69,-181.52092313662786
7.7,-175.6626654599263
7.71,-169.67986876158307
7.72,-163.57697459515447
7.73,-157.35849210260832
7.74,-151.02899390448334
7.75,-144.5931119367313
7.76,-138.05553323800626
7.77,-131.42099569117818
7.78,-124.69428372291817
7.79,-117.88022396523519
7.8,-110.98368088285444
7.81,-104.0095523703884
7.82,-96.96276532326947
7.83,-89.84827118641532
7.84,-82.67104148465147
7.85,-75.43606333890388
7.86,-68.14833497220572
7.87,-60.81286120956217
7.88,-53.434648975709436
7.89,-46.018702794847556
7.9,-38.570020296363325
7.91,-31.093587730622776
7.92,-23.594375498828548
7.93,-16.077333700997862
7.94,-8.54738770604736
7.95,-1.0094337479723237
7.96,6.531665447919771
7.97,14.071085004786127
7.98,21.60404219613247
7.99,29.12580070594116
8.0,36.631674843214896
8.01,44.117033707137566
8.02,51.577305299119985
8.03,59.00798057803482
8.04,66.40461745498625
8.05,73.76284472403805
8.06,81.07836592535924
8.07,88.34696313733222
8.08,95.56450069419692
8.09,102.72692882591002
8.1,109.83028721694801
8.11,116.8707084808517
8.12,123.84442154740611
8.13,130.74775495940912
8.14,137.577140076069
8.15,144.32911418017218
8.16,151.00032348621525
8.17,157.5875260468205
8.18,164.08759455482362
8.19,170.49751903852317
8.2,176.8144094476801
8.21,183.0354981279563
8.22,189.15814218156103
8.23,195.17982571202046
8.24,201.09816195103912
8.25,206.91089526556462
8.26,212.61590304325998
8.27,218.21119745470665
8.28,223.69492709075683
8.29,229.06537847358783
8.3,234.32097744010318
8.31,239.46029039645822
8.32,244.48202544260104
8.33,249.38503336582008
8.34,254.16830850243127
8.35,258.8309894668467
8.36,263.3723597473795
8.37,267.79184816827257
8.38,272.0890292175495
8.39,276.26362324041395
8.4,280.3154964980423
8.41,284.2446610917337
8.42,288.05127475250384
8.43,291.7356404963376
8.44,295.29820614542695
8.45,298.739563715842
8.46,302.0604486722177
8.47,305.261739050133
8.48,308.34445444701043
8.49,311.30975488245053
8.5,314.15893952905964
8.51,316.8934453149309
8.52,319.5148453990595
8.53,322.0248475210869
8.54,324.42529222688296
8.55,326.71815097158935
8.56,328.90552410184677
8.57,330.9896387190574
8.58,332.97284642562033
8.59,334.85762095620015
8.6,336.64655569617764
8.61,338.34236108955145
8.62,339.9478619386402
8.63,341.4659945980467
8.64,342.8998040654268
8.65,344.25244097172765
8.66,345.52715847360304
8.67,346.7273090508527
8.68,347.8563412117824
8.69,348.917796109483
8.7,349.9153040721002
8.71,350.85258105024155
8.72,351.7334249847522
8.73,352.56171209815784
8.74,353.34139311312975
8.75,354.0764894014188
8.76,354.77108906674687
8.77,355.4293429652057
8.78,356.0554606667847
8.79,356.6537063616822
8.8,357.2283947151273
8.81,357.78388667445375
8.82,358.32458523225137
8.83,358.85493114942636
8.84,359.37939864205185
8.85,359.9024910359241
8.86,360.42873639276945
8.87,360.96268311206427
8.88,361.5088955124609
8.89,362.07194939682535
8.9,362.6564276049219
8.91,363.2669155577644
8.92,363.9079967976827
8.93,364.5842485281576
8.94,365.30023715746415
8.95,366.06051385016815
8.96,366.8696100905134
8.97,367.7320332617309
8.98,368.6522622452762
8.99,369.63474304398983
9.0,370.68388443316053
9.01,371.8040536434348
9.02,372.99957207949114
9.03,374.2747110783676
9.04,375.6336877113016
9.05,377.0806606328906
9.06,378.6197259813338
9.07,380.2549133335039
9.08,381.990181718503
9.09,383.82941569333707
9.1,385.7764214842708
9.11,387.8349231973798
9.12,390.00855910173686
9.13,392.30087798862144
9.14,394.71533561005583
9.15,397.2552911999266
9.16,399.92400408083773
9.17,402.7246303598014
9.18,405.66021971577095
9.19,408.73371228194634
9.2,411.9479356256919
9.21,415.3056018288235
9.22,418.80930467093026
9.23,422.4615169183074
9.24,426.2645877209627
9.25,430.2207401200966
9.26,434.3320686683234
9.27,438.6005371648158
9.28,443.02797650745066
9.29,447.61608266392545
9.3,452.3664147637129
9.31,457.2803933125982
9.32,462.3592985314608
9.33,467.60426882081697
9.34,473.01629935255335
9.35,478.59624079015543
9.36,484.3447981386156
9.37,490.26252972510395
9.38,496.3498463113481
9.39,502.60701033856
9.4,509.03413530563955
9.41,515.6311852812365
9.42,522.3979745501574
9.43,529.3341673944731
9.44,536.4392780095625
9.45,543.7126705552043
9.46,551.1535593417141
9.47,558.7610091509838
9.48,566.5339356922029
9.49,574.4711061918517
9.5,582.5711401175028
9.51,590.832510034805
9.52,599.2535425969203
9.53,607.8324196655632
9.54,616.5671795626656
9.55,625.4557184515901
9.56,634.4957918466688
9.57,643.6850162497781
9.58,653.0208709124764
9.59,662.5006997221867
9.6,672.1217132107545
9.61,681.8809906836068
9.62,691.7754824676424
9.63,701.802012275866
9.64,711.9572796866667
9.65,722.2378627355689
9.66,732.6402206171364
9.67,743.1606964946504
9.68,753.7955204150696
9.69,764.5408123266786
9.7,775.3925851967568
9.71,786.3467482264953
9.72,797.3991101602905
9.73,808.5453826865133
9.74,819.7811839266813
9.75,831.1020420099646
9.76,842.5033987298332
9.77,853.9806132795925
9.78,865.528966063485
9.79,877.1436625799619
9.8,888.8198373736628
9.81,900.5525580525865
9.82,912.3368293668901
9.83,924.1675973456421
9.84,936.0397534878815
9.85,947.9481390042289
9.86,959.8875491052678
9.87,971.8527373328752
9.88,983.8384199306411
9.89,995.8392802494702
9.9,1007.8499731844506
9.91,1019.8651296390135
9.92,1031.8793610124155
9.93,1043.8872637065294
9.94,1055.8834236479272
9.95,1067.862420821223
9.96,1079.8188338096186
9.97,1091.747244338605
9.98,1103.6422418187772
9.99,1115.4984278836816
10.0,1127.3104209186642
